t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T0069,-168.96753616485628,168.96753616485628,-117.71,117.71,1.6324583333333331,0.11427208333333333,1.6324583333333331,8.239700000000001,,,,,,,True,False,False,True,False
T0070,-161.15162975531456,161.15162975531456,-95.95,95.95,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.716500000000001,,,,,,,True,False,False,True,False
T0071,-164.64651805333116,164.64651805333116,-105.68,105.68,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.3976000000000015,,,,,,,True,False,False,True,False
T0072,-160.903790811262,160.903790811262,-95.26,95.26,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.668200000000001,,,,,,,True,False,False,True,False
T0073,-163.9353280399629,163.9353280399629,-103.7,103.7,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.259000000000001,,,,,,,True,False,False,True,False
T0074,-165.5768120607169,165.5768120607169,-108.27,108.27,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.578900000000001,,,,,,,True,False,False,True,False
T0075,-164.7327229034364,164.7327229034364,-105.92,105.92,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.4144000000000005,,,,,,,True,False,False,True,False
T0076,-163.83116384608576,163.83116384608576,-103.41,103.41,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.238700000000001,,,,,,,True,False,False,True,False
T0077,-163.5797330332788,163.5797330332788,-102.71,102.71,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.1897,,,,,,,True,False,False,True,False
T0078,-167.71756583833033,167.71756583833033,-114.23,114.23,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.996100000000001,,,,,,,True,False,False,True,False
T0079,-173.44300463282,173.44300463282,-130.17,130.17,1.6324583333333331,0.11427208333333333,1.6324583333333331,9.1119,,,,,,,True,False,False,True,False
T0080,-192.289539987078,192.289539987078,-182.64,182.64,0.6529833333333334,0.04570883333333334,0.6529833333333334,12.7848,,,,,,,True,False,False,True,False
T0081,-189.40526937730684,189.40526937730684,-174.61,174.61,0.6529833333333334,0.04570883333333334,0.6529833333333334,12.222700000000001,,,,,,,True,False,False,True,False
T0082,-188.3348924885001,188.3348924885001,-171.63,171.63,0.6529833333333334,0.04570883333333334,0.6529833333333334,12.014100000000001,,,,,,,True,False,False,True,False
T0083,-188.57195582628955,188.57195582628955,-172.29,172.29,0.6529833333333334,0.04570883333333334,0.6529833333333334,12.0603,,,,,,,True,False,False,True,False
T0084,-185.81699249167625,185.81699249167625,-164.62,164.62,0.6529833333333334,0.04570883333333334,0.6529833333333334,11.5234,,,,,,,True,False,False,True,False
T0085,-184.15036538964162,184.15036538964162,-159.98,159.98,0.6529833333333334,0.04570883333333334,0.6529833333333334,11.1986,,,,,,,True,False,False,True,False
T0086,-182.60945369401045,182.60945369401045,-155.69,155.69,0.6529833333333334,0.04570883333333334,0.6529833333333334,10.8983,,,,,,,True,False,False,True,False
T0087,-182.41908465002805,182.41908465002805,-155.16,155.16,0.6529833333333334,0.04570883333333334,0.6529833333333334,10.8612,,,,,,,True,False,False,True,False
T0088,-183.6008094702207,183.6008094702207,-158.45,158.45,0.6529833333333334,0.04570883333333334,0.6529833333333334,11.0915,,,,,,,True,False,False,True,False
T0089,-184.64245140899237,184.64245140899237,-161.35,161.35,0.6529833333333334,0.04570883333333334,0.6529833333333334,11.294500000000001,,,,,,,True,False,False,True,False
T0090,-186.94483928055314,186.94483928055314,-167.76,167.76,0.6529833333333334,0.04570883333333334,0.6529833333333334,11.7432,,,,,,,True,False,False,True,False
T0091,-185.7595225916061,185.7595225916061,-164.46,164.46,0.6529833333333334,0.04570883333333334,0.6529833333333334,11.512200000000002,,,,,,,True,False,False,True,False
T0092,-181.95932544946677,181.95932544946677,-153.88,153.88,0.6529833333333334,0.04570883333333334,0.6529833333333334,10.771600000000001,,,,,,,True,False,False,True,False
T0093,-179.41987424011657,179.41987424011657,-146.81,146.81,0.6529833333333334,0.04570883333333334,0.6529833333333334,10.276700000000002,,,,,,,True,False,False,True,False
T0094,-172.93295926969734,172.93295926969734,-128.75,128.75,1.6324583333333331,0.11427208333333333,1.6324583333333331,9.012500000000001,,,,,,,True,False,False,True,False
T0095,-167.26139850652342,167.26139850652342,-112.96,112.96,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.9072000000000005,,,,,,,True,False,False,True,False
T0096,-156.89885715012275,156.89885715012275,-84.11,84.11,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.887700000000001,,,,,,,True,False,False,True,False
T0097,-160.4045210544025,160.4045210544025,-93.87,93.87,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.570900000000001,,,,,,,True,False,False,True,False
T0098,-145.25401864840663,145.25401864840663,-51.69,51.69,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.6183,,,,,,,True,False,False,True,False
T0099,-144.6613603039331,144.6613603039331,-50.04,50.04,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.5028,,,,,,,True,False,False,True,False
T0100,-144.47817499745946,144.47817499745946,-49.53,49.53,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4671000000000003,,,,,,,True,False,False,True,False
T0101,-144.67213591019626,144.67213591019626,-50.07,50.07,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.5049000000000006,,,,,,,True,False,False,True,False
T0102,-160.232111354192,160.232111354192,-93.39,93.39,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.537300000000001,,,,,,,True,False,False,True,False
